date       ,oven_id ,layer_id ,lamp_id              ,anomaly_accumulation_hour ,relative_days ,relative_days_bias ,hour_bias ,power_setup ,in_temperature ,out_temperature ,A_temperature ,B_temperature ,anomaly_total_number
2022-01-09 ,      0 ,       1 ,84_85_87             ,       5599.0             ,           13 ,                25 ,      377 ,       61.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   3
2022-01-29 ,      0 ,       1 ,23_26_120            ,       5994.0             ,           33 ,                20 ,      395 ,       61.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   3
2022-02-19 ,      0 ,       1 ,98_102_105           ,       6435.0             ,           54 ,                21 ,      441 ,       63.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   3
2022-03-04 ,      0 ,       1 ,10_21                ,       6641.0             ,           67 ,                13 ,      206 ,       65.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   2
2022-03-26 ,      0 ,       1 ,57_74                ,       7085.0             ,           89 ,                22 ,      444 ,       70.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   2
2022-04-01 ,      0 ,       1 ,7_36_51              ,       7203.0             ,           95 ,                 6 ,      118 ,       70.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   3
2022-04-22 ,      0 ,       1 ,55_64                ,       7559.0             ,          116 ,                21 ,      356 ,       70.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   2
2022-05-02 ,      0 ,       1 ,45_71                ,       7703.0             ,          126 ,                10 ,      144 ,       70.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   2
2022-05-06 ,      0 ,       1 ,43_60                ,       7775.0             ,          130 ,                 4 ,       72 ,       70.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   2
2022-05-11 ,      0 ,       1 ,17_75                ,       7872.0             ,          135 ,                 5 ,       97 ,       70.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   2
2022-05-20 ,      0 ,       1 ,3_40                 ,       8038.0             ,          144 ,                 9 ,      166 ,       75.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   2
2022-05-29 ,      0 ,       1 ,2_83_99              ,       8206.0             ,          153 ,                 9 ,      168 ,       75.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   3
2022-06-08 ,      0 ,       1 ,6_30_83              ,       8407.0             ,          163 ,                10 ,      201 ,       75.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   3
2022-07-04 ,      0 ,       1 ,49_111               ,       8742.0             ,          189 ,                26 ,      335 ,       75.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   2
2022-07-14 ,      0 ,       1 ,53_100               ,       8879.0             ,          199 ,                10 ,      137 ,       75.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   2
2022-08-15 ,      0 ,       1 ,19_28                ,       9214.0             ,          231 ,                32 ,      335 ,       80.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   2
2022-08-24 ,      0 ,       1 ,66_77                ,       9295.0             ,          240 ,                 9 ,       81 ,       80.5 ,          20.3 ,           24.8 ,         23.3 ,         25.2 ,                   2
